station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,2/1/2017,W,"2,160"
40020,Harlem-Lake,2/1/2017,W,"3,810"
40030,Pulaski-Lake,2/1/2017,W,"1,543"
40040,Quincy/Wells,2/1/2017,W,"8,231"
40050,Davis,2/1/2017,W,"3,602"
40060,Belmont-O'Hare,2/1/2017,W,"5,726"
40070,Jackson/Dearborn,2/1/2017,W,"8,171"
40080,Sheridan,2/1/2017,W,"5,728"
40090,Damen-Brown,2/1/2017,W,"3,044"
40100,Morse,2/1/2017,W,"4,872"
40120,35th/Archer,2/1/2017,W,"3,274"
40130,51st,2/1/2017,W,"1,020"
40140,Dempster-Skokie,2/1/2017,W,"1,882"
40150,Pulaski-Cermak,2/1/2017,W,"1,163"
40160,LaSalle/Van Buren,2/1/2017,W,"2,980"
40170,Ashland-Lake,2/1/2017,W,"2,352"
40180,Oak Park-Forest Park,2/1/2017,W,"1,919"
40190,Sox-35th-Dan Ryan,2/1/2017,W,"4,524"
40200,Randolph/Wabash,2/1/2017,W,"9,202"
40210,Damen-Cermak,2/1/2017,W,"1,652"
40220,Western-Forest Park,2/1/2017,W,"1,768"
40230,Cumberland,2/1/2017,W,"4,462"
40240,79th,2/1/2017,W,"7,297"
40250,Kedzie-Homan-Forest Park,2/1/2017,W,"2,140"
40260,State/Lake,2/1/2017,W,"10,009"
40270,Main,2/1/2017,W,"1,239"
40280,Central-Lake,2/1/2017,W,"2,147"
40290,Ashland/63rd,2/1/2017,W,"1,161"
40300,Indiana,2/1/2017,W,908
40310,Western-Orange,2/1/2017,W,"3,936"
40320,Division/Milwaukee,2/1/2017,W,"6,244"
40330,Grand/State,2/1/2017,W,"10,322"
40340,Berwyn,2/1/2017,W,"3,543"
40350,UIC-Halsted,2/1/2017,W,"7,515"
40360,Southport,2/1/2017,W,"3,617"
40370,Washington/Dearborn,2/1/2017,W,"12,286"
40380,Clark/Lake,2/1/2017,W,"20,984"
40390,Forest Park,2/1/2017,W,"3,565"
40400,Noyes,2/1/2017,W,927
40420,Cicero-Cermak,2/1/2017,W,"1,247"
40430,Clinton-Forest Park,2/1/2017,W,"3,931"
40440,California-Cermak,2/1/2017,W,"1,475"
40450,95th/Dan Ryan,2/1/2017,W,"11,069"
40460,Merchandise Mart,2/1/2017,W,"8,291"
40470,Racine,2/1/2017,W,"2,443"
40480,Cicero-Lake,2/1/2017,W,"1,392"
40490,Grand/Milwaukee,2/1/2017,W,"2,561"
40510,Garfield-South Elevated,2/1/2017,W,"1,327"
40520,Foster,2/1/2017,W,906
40530,Diversey,2/1/2017,W,"5,738"
40540,Wilson,2/1/2017,W,"6,119"
40550,Irving Park-O'Hare,2/1/2017,W,"4,257"
40560,Jackson/State,2/1/2017,W,"12,319"
40570,California/Milwaukee,2/1/2017,W,"5,940"
40580,54th/Cermak,2/1/2017,W,"2,127"
40590,Damen/Milwaukee,2/1/2017,W,"6,363"
40600,Kostner,2/1/2017,W,507
40610,Ridgeland,2/1/2017,W,"1,389"
